Processing data...
PUT http://localhost:9200/mini_data_train_search/_doc/311 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/312 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/313 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/314 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/315 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/316 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/317 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/318 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/319 [status:201 duration:0.025s]
PUT http://localhost:9200/mini_data_train_search/_doc/320 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/321 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/322 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/323 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/324 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/325 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/326 [status:201 duration:0.046s]
PUT http://localhost:9200/mini_data_train_search/_doc/327 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/328 [status:201 duration:0.051s]
PUT http://localhost:9200/mini_data_train_search/_doc/329 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/330 [status:201 duration:0.042s]
PUT http://localhost:9200/mini_data_train_search/_doc/331 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/332 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/333 [status:201 duration:0.041s]
PUT http://localhost:9200/mini_data_train_search/_doc/334 [status:201 duration:0.039s]
PUT http://localhost:9200/mini_data_train_search/_doc/335 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/336 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/337 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/338 [status:201 duration:0.041s]
